respondent_id,stakeholder_type,pre_trust_centralized,post_trust_blockchain,pre_transparency_centralized,post_transparency_blockchain,pre_accountability_centralized,post_accountability_blockchain,pre_willingness_centralized,post_willingness_blockchain,trust_improvement
1,Regulator,5.043979076007824,10.0,4.79643643175997,10.0,5.321689546219905,10.0,5.384174444128755,10.0,4.956020923992176
2,ML Engineer,6.430568868650653,6.497313900486578,3.9196827058478916,4.486427737683817,4.496334346881479,4.863079378717404,4.231576501042781,4.098321532878706,0.06674503183592506
3,ML Engineer,5.126940933307043,5.566871733491384,6.747578655096065,7.687509455280406,6.558642796908874,7.298573597093214,7.06945025508543,7.30938105526977,0.4399308001843414
4,Healthcare Provider,4.457302435405399,7.397786463327252,2.7496642915684473,6.1901483194903,5.6367928870693556,8.877276914991208,3.8145430842327603,6.555027112154613,2.940484027921853
5,ML Engineer,4.942448333137804,6.275783496029888,4.625219172631865,6.4585543355239485,4.2096239981051635,5.842959160997247,7.609208157639234,8.742543320531318,1.3333351628920838
6,Patient,6.693083247335783,10.0,5.739320554138795,9.934669670426297,6.541102732133963,10.0,6.458921980384453,9.954271096671956,3.3069167526642174
7,ML Engineer,3.6248166652243317,6.582474887937494,3.862709380677175,7.320367603390336,8.128728072966062,10.0,6.518746542945256,9.276404765658418,2.957658222713162
8,Patient,5.403859880550711,7.350111367379467,5.084234115396767,7.530485602225523,3.764051283331731,6.010302770160487,10.0,10.0,1.9462514868287561
9,Regulator,6.452239306971727,8.76275697226626,3.0858085862989144,5.8963262515934485,4.609650829671583,7.220168494966117,2.9568179230174807,5.067335588312015,2.310517665294533
10,Regulator,6.984344209232657,9.870316835794387,4.713632413646879,8.09960504020861,7.321754700223694,10.0,2.553349551221774,5.239322177783504,2.8859726265617303
11,Patient,6.019204114716035,7.409724897943775,4.485869841161677,6.376390624389417,4.59068325505948,6.281204038287219,3.8878424541675716,5.078363237395311,1.39052078322774
12,Regulator,6.608920320042296,10.0,5.710292180294592,10.0,7.110446486214895,10.0,1.9196874727233526,6.514811210779567,3.391079679957704
13,Healthcare Provider,3.107780400824731,5.115569668817454,6.86170717328662,9.369496441279342,6.580075361349646,8.88786462934237,4.6209477751470756,6.428737043139798,2.0077892679927225
14,Regulator,7.262957620084446,9.4493704222746,5.245710222309978,7.9321230245001315,7.516215159736361,10.0,5.395625193133278,7.382037995323431,2.186412802190153
15,Regulator,7.096156995438431,9.387550192977837,3.1697451274742376,5.9611383250136445,7.3865035108797175,9.977896708419125,4.1478080401493065,6.239201237688714,2.2913931975394064
16,Patient,6.7116358218992005,9.409204261944573,5.247001549224498,8.444569989269873,6.330444749695215,9.32801318974059,2.2455351528681318,4.7431035929135055,2.697568440045373
